module_id,module,r3e_alignment,source_paths,cited_symbols,source_exists,runtime_caller_evidence,test_evidence,live_evidence,acceptance_evidence,highest_proven_state,why_next_state_unproven
MOD-14,M1OrderFlow,PARTIAL,src/GC.AuctionFlow/Orderflow/ExecutedOrderflowHost.cs;src/GC.AuctionFlow/Probe/TradeAggressorSide.cs,class ExecutedOrderflowHost@src/GC.AuctionFlow/Orderflow/ExecutedOrderflowHost.cs;Resolve@src/GC.AuctionFlow/P,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-15,Imbalance,PARTIAL,src/GC.AuctionFlow/Imbalance/ImbalanceEnums.cs,enum ImbalanceQualification@src/GC.AuctionFlow/Imbalance/ImbalanceEnums.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-16,CVD,PARTIAL,src/GC.AuctionFlow/Orderflow/MutableOrderflow.cs,ClassifiedCvd@src/GC.AuctionFlow/Orderflow/MutableOrderflow.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-17,EffortResult,PARTIAL,src/GC.AuctionFlow/Efficiency/EfficiencyVectors.cs;src/GC.AuctionFlow/EffortResult/EffortResultEnums.cs,AuctionEffortEvidenceVector@src/GC.AuctionFlow/Efficiency/EfficiencyVectors.cs;enum EffortResultClassification,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-18,FAR,PARTIAL,src/GC.AuctionFlow/Thesis/FarThesisHost.cs,class FarThesisHost@src/GC.AuctionFlow/Thesis/FarThesisHost.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-19,AAC,PARTIAL,src/GC.AuctionFlow/Thesis/AacThesisHost.cs,class AacThesisHost@src/GC.AuctionFlow/Thesis/AacThesisHost.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-20,ValueRotation,NOT_IMPLEMENTED,src/GC.AuctionFlow/Thesis/ThesisContractEnums.cs,enum MissingEvidenceKind@src/GC.AuctionFlow/Thesis/ThesisContractEnums.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_CANDIDATE_FOUND,R3E=NOT_IMPLEMENTED; not integrated
MOD-21,StructuralAnalysisSnapshot,PARTIAL,src/GC.AuctionFlow/Runtime/GcaeRuntimeSnapshot.cs,class GcaeRuntimeSnapshot@src/GC.AuctionFlow/Runtime/GcaeRuntimeSnapshot.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-22,OptionsContext,PARTIAL,src/GC.AuctionFlow/OptionFlow/OptionFlowOverlayViewModel.cs,enum OptionFlowLineKind@src/GC.AuctionFlow/OptionFlow/OptionFlowOverlayViewModel.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-23,EngineLifecycleWarmup,NOT_IMPLEMENTED,src/GC.AuctionFlow/Runtime/GcaeRuntimeSnapshot.cs,class GcaeRuntimeSnapshot@src/GC.AuctionFlow/Runtime/GcaeRuntimeSnapshot.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_CANDIDATE_FOUND,R3E=NOT_IMPLEMENTED; not integrated
MOD-24,EventOrderingBarFinalization,PARTIAL,src/GC.AuctionFlow/Runtime/ModuleDriveSchedule.cs,Validate@src/GC.AuctionFlow/Runtime/ModuleDriveSchedule.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-25,DeterministicReplayAudit,PARTIAL,src/GC.AuctionFlow/Runtime/DataGateReasonCodes.cs;src/GC.AuctionFlow/Thesis/ThesisContractEnums.cs,DataGateReasonCodes@src/GC.AuctionFlow/Runtime/DataGateReasonCodes.cs;enum MissingEvidenceKind@src/GC.AuctionF,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
